"distribution_channel","arrival_date_year","arrival_date_month","monthly_bookings"
"Corporate",2015,"July","18"
"Corporate",2015,"August","79"
"Corporate",2015,"September","143"
"Corporate",2015,"October","321"
"Corporate",2015,"November","356"
"Corporate",2015,"December","173"
"Corporate",2016,"January","189"
"Corporate",2016,"February","213"
"Corporate",2016,"March","225"
"Corporate",2016,"April","210"
"Corporate",2016,"May","237"
"Corporate",2016,"June","234"
"Corporate",2016,"July","134"
"Corporate",2016,"August","53"
"Corporate",2016,"September","208"
"Corporate",2016,"October","509"
"Corporate",2016,"November","334"
"Corporate",2016,"December","142"
"Corporate",2017,"January","196"
"Corporate",2017,"February","222"
"Corporate",2017,"March","326"
"Corporate",2017,"April","146"
"Corporate",2017,"May","232"
"Corporate",2017,"June","156"
"Corporate",2017,"July","87"
"Corporate",2017,"August","60"
"Direct",2015,"July","264"
"Direct",2015,"August","524"
"Direct",2015,"September","387"
"Direct",2015,"October","452"
"Direct",2015,"November","244"
"Direct",2015,"December","415"
"Direct",2016,"January","375"
"Direct",2016,"February","525"
"Direct",2016,"March","596"
"Direct",2016,"April","480"
"Direct",2016,"May","457"
"Direct",2016,"June","383"
"Direct",2016,"July","454"
"Direct",2016,"August","529"
"Direct",2016,"September","466"
"Direct",2016,"October","510"
"Direct",2016,"November","398"
"Direct",2016,"December","458"
"Direct",2017,"January","543"
"Direct",2017,"February","534"
"Direct",2017,"March","478"
"Direct",2017,"April","507"
"Direct",2017,"May","469"
"Direct",2017,"June","512"
"Direct",2017,"July","590"
"Direct",2017,"August","538"
"GDS",2015,"September","1"
"GDS",2016,"February","4"
"GDS",2016,"March","6"
"GDS",2016,"April","5"
"GDS",2016,"May","7"
"GDS",2016,"June","7"
"GDS",2016,"July","4"
"GDS",2016,"August","1"
"GDS",2016,"September","7"
"GDS",2016,"October","17"
"GDS",2016,"November","17"
"GDS",2016,"December","7"
"GDS",2017,"January","16"
"GDS",2017,"February","14"
"GDS",2017,"March","9"
"GDS",2017,"April","3"
"GDS",2017,"May","11"
"GDS",2017,"June","18"
"GDS",2017,"August","2"
"TA/TO",2015,"July","1234"
"TA/TO",2015,"August","1688"
"TA/TO",2015,"September","2489"
"TA/TO",2015,"October","2452"
"TA/TO",2015,"November","1254"
"TA/TO",2015,"December","1359"
"TA/TO",2016,"January","1127"
"TA/TO",2016,"February","1812"
"TA/TO",2016,"March","2520"
"TA/TO",2016,"April","2672"
"TA/TO",2016,"May","2862"
"TA/TO",2016,"June","2572"
"TA/TO",2016,"July","2481"
"TA/TO",2016,"August","2655"
"TA/TO",2016,"September","2691"
"TA/TO",2016,"October","2653"
"TA/TO",2016,"November","2069"
"TA/TO",2016,"December","1855"
"TA/TO",2017,"January","1676"
"TA/TO",2017,"February","2048"
"TA/TO",2017,"March","2485"
"TA/TO",2017,"April","2542"
"TA/TO",2017,"May","2839"
"TA/TO",2017,"June","2522"
"TA/TO",2017,"July","2652"
"TA/TO",2017,"August","2509"
"Undefined",2015,"July","1"
