"arrival_date_month","arrival_date_year","monthly_revenue"
"July",2015,"588401"
"August",2015,"898091"
"September",2015,"917673"
"October",2015,"716712"
"November",2015,"236721"
"December",2015,"428656"
"January",2016,"259290"
"February",2016,"534734"
"March",2016,"782627"
"April",2016,"984120"
"May",2016,"1043010"
"June",2016,"1121695"
"July",2016,"1344092"
"August",2016,"1749959"
"September",2016,"1275752"
"October",2016,"1186152"
"November",2016,"659601"
"December",2016,"719752"
"January",2017,"529884"
"February",2017,"667997"
"March",2017,"794753"
"April",2017,"1366378"
"May",2017,"1488453"
"June",2017,"1500034"
"July",2017,"1794245"
"August",2017,"1944699"
