"arrival_date_year","arrival_date_month","canceled_revenue","actual_revenue"
2015,"July","215602","367161"
2015,"August","312413","581886"
2015,"September","355804","553713"
2015,"October","243854","470417"
2015,"November","50298","182929"
2015,"December","137102","283180"
2016,"January","64858","188366"
2016,"February","171885","345745"
2016,"March","265454","505393"
2016,"April","378351","594999"
2016,"May","361480","669672"
2016,"June","440434","668989"
2016,"July","411709","920948"
2016,"August","608388","1128180"
2016,"September","475215","791833"
2016,"October","496623","678869"
2016,"November","252466","400943"
2016,"December","272284","442614"
2017,"January","199047","327330"
2017,"February","225130","434540"
2017,"March","288029","499626"
2017,"April","608303","752843"
2017,"May","674601","798591"
2017,"June","656623","836019"
2017,"July","690542","1092904"
2017,"August","746054","1188847"
